customer_id,nama_pemilik,no_telepon,alamat,kecamatan,kota,kode_pos,car_id,nopol,model,varian,tahun,bahan_bakar,penggerak,transmisi,jenis_oli,interval_oli_km,segmen_pemakaian_asli,km_per_bulan
CUST0001,Wahyu Nugroho,081272752813,"Komp. Cemara Asri Blok F23, Jl. William Iskandar",Medan Selayang,Medan,20131,CAR0001,BK 4071 NU,Innova Zenix,2.0 HV,2020,Hybrid,FWD,CVT,Full-Sintetik,10000,Heavy Daily,2942.7
CUST0002,Pranata Sembiring,085226429339,Jl. Kapten Muslim No. 101,Medan Marelan,Medan,20255,CAR0002,BK 9685 MP,Avanza,1.5 G,2024,Bensin,FWD,AT,Semi-Sintetik,7000,Light Commuter,1042.1
CUST0003,Rizky Tarigan,083815748723,Jl. Pancing No. 158,Medan Maimun,Medan,20151,CAR0003,BK 3366 VM,Avanza,1.3 E,2016,Bensin,RWD,MT,Semi-Sintetik,7000,Weekend Warrior,1415.4
CUST0004,Tiur Ginting,083871008004,Jl. Brigjen Katamso No. 91,Medan Denai,Medan,20227,CAR0004,BK 4948 BS,Innova Zenix,2.0 HV,2021,Hybrid,FWD,CVT,Full-Sintetik,10000,Light Commuter,586.0
CUST0005,Togar Manurung,089677024299,Jl. Adam Malik No. 82,Medan Deli,Medan,20241,CAR0005,BK 3675 YE,Avanza,1.5 G,2023,Bensin,FWD,AT,Semi-Sintetik,7000,Weekend Warrior,1696.2
CUST0006,Taufik Ginting,081371775280,"Komp. Citra Garden Blok E28, Jl. Gajah Mada",Medan Area,Medan,20214,CAR0006,BK 8999 KS,Avanza,1.5 Veloz,2021,Bensin,FWD,MT,Full-Sintetik,9500,Light Commuter,747.9
CUST0007,Dewi Wirawan,081338107909,Jl. Dr. Mansyur No. 201,Medan Marelan,Medan,20255,CAR0007,BK 3213 SK,Fortuner,2.8 GR 4x4,2024,Diesel,4x4,AT,Full-Sintetik,6000,Weekend Warrior,1758.0
CUST0008,Ratna Damanik,081384932798,Jl. Gatot Subroto No. 199,Medan Tuntungan,Medan,20135,CAR0008,BK 6181 XJ,Avanza,1.5 G,2018,Bensin,FWD,MT,Semi-Sintetik,7000,Light Commuter,644.1
CUST0009,Sari Nugroho,081151295549,Jl. Sisingamangaraja No. 35,Medan Petisah,Medan,20111,CAR0009,BK 4359 HY,Avanza,1.5 Veloz,2023,Bensin,FWD,AT,Full-Sintetik,9500,Heavy Daily,2968.9
CUST0010,Hendra Nugroho,081117127884,Jl. Kapten Muslim No. 141,Medan Amplas,Medan,20148,CAR0010,BK 9914 KT,Innova Reborn,2.4 V Diesel,2021,Diesel,RWD,AT,Full-Sintetik,6000,Light Commuter,1249.0
CUST0011,Ferry Santoso,082249309843,"Perumahan J City Blok G25, Jl. Pancing",Medan Kota,Medan,20212,CAR0011,BK 6535 JJ,Avanza,1.5 Veloz,2020,Bensin,FWD,AT,Full-Sintetik,9500,Weekend Warrior,1822.4
