customer_id,car_id,nama_pemilik,no_telepon,nopol,model,bahan_bakar,penggerak,jenis_oli,last_oil_date,km_saat_servis,days_since_last_oil,estimated_current_km,estimated_km_since_oil,interval_oli_km,predicted_interval_days,progress_day_model,progress_km_rule,prob_due_14d_conditional,priority_score,alert_tier,status_rekomendasi,wa_message,visit_id,tanggal,next_best_offer
CUST0143,CAR0143,Gunawan Simanjuntak,081332788868,BK 6814 KW,Avanza,Bensin,RWD,Semi-Sintetik,2025-07-07,60540,344,70246.0,9706.0,7000,236.62052410891948,1.4538045729357456,1.3865714285714286,0.35393034084215325,0.8634655135837155,High Priority,Sudah melewati model due date,"Halo Gunawan Simanjuntak, kendaraan Toyota Avanza BK 6814 KW sudah mencapai 139% dari interval ideal ganti oli dan estimasi 35% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V001571,2025-07-07,"Busi (set) (conf 18%, lift 1.24, avg Rp329,357); Oli Gardan/Transfer (conf 5%, lift 1.22, avg Rp351,716); Tune Up / Servis Berkala (conf 22%, lift 1.20, avg Rp532,492)"
CUST0366,CAR0366,Rosma Silalahi,085161601997,BK 3798 NL,Innova Reborn,Diesel,RWD,Full-Sintetik,2025-12-03,64164,195,72132.0,7968.0,6000,143.67847987376345,1.357196987129373,1.328,0.4954498193929919,0.8375563681897189,High Priority,Sudah melewati model due date,"Halo Rosma Silalahi, kendaraan Toyota Innova Reborn BK 3798 NL sudah mencapai 133% dari interval ideal ganti oli dan estimasi 50% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V007347,2025-12-30,
CUST0369,CAR0369,Sari Halim,083814796389,BK 9028 AL,Agya,Bensin,FWD,Mineral,2025-10-23,34453,236,40341.0,5888.0,4500,172.65995481679622,1.366848498543926,1.3084444444444445,0.43446219235874267,0.82803600054214,High Priority,Sudah melewati model due date,"Halo Sari Halim, kendaraan Toyota Agya BK 9028 AL sudah mencapai 131% dari interval ideal ganti oli dan estimasi 43% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V008012,2026-05-11,"Aki/Accu (conf 12%, lift 1.16, avg Rp1,384,557)"
CUST0394,CAR0394,Pranata Wirawan,085115934072,BK 2779 NW,Avanza,Bensin,FWD,Semi-Sintetik,2026-04-10,194910,67,202493.0,7583.0,7000,51.44396645722159,1.3023879108488667,1.0832857142857142,0.8571656134018243,0.8227742188453344,High Priority,Sudah melewati model due date,"Halo Pranata Wirawan, kendaraan Toyota Avanza BK 2779 NW sudah mencapai 108% dari interval ideal ganti oli dan estimasi 86% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V004493,2026-04-10,"Filter Udara (conf 80%, lift 1.18, avg Rp190,014); Tune Up / Servis Berkala (conf 21%, lift 1.18, avg Rp532,492); Wiper (conf 10%, lift 1.18, avg Rp149,851)"
CUST0011,CAR0011,Ferry Santoso,082249309843,BK 6535 JJ,Avanza,Bensin,FWD,Full-Sintetik,2025-12-26,129530,172,139828.0,10298.0,9500,121.74169519810043,1.4128273778356568,1.084,0.569206174632541,0.8202176314012887,High Priority,Sudah melewati model due date,"Halo Ferry Santoso, kendaraan Toyota Avanza BK 6535 JJ sudah mencapai 108% dari interval ideal ganti oli dan estimasi 57% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V000113,2025-12-26,"Filter Udara (conf 82%, lift 1.20, avg Rp190,014); Wiper (conf 10%, lift 1.18, avg Rp149,851); Oli Gardan/Transfer (conf 4%, lift 1.18, avg Rp351,716)"
CUST0187,CAR0187,Eko Pratama,082127389835,BK 5312 SW,Avanza,Bensin,FWD,Semi-Sintetik,2025-08-28,65002,292,73878.0,8876.0,7000,215.8311314764123,1.3529095548105023,1.268,0.36150483626989893,0.8038925622043358,High Priority,Sudah melewati model due date,"Halo Eko Pratama, kendaraan Toyota Avanza BK 5312 SW sudah mencapai 127% dari interval ideal ganti oli dan estimasi 36% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V002130,2025-08-28,"Filter Udara (conf 82%, lift 1.20, avg Rp190,014); Wiper (conf 10%, lift 1.18, avg Rp149,851); Oli Gardan/Transfer (conf 4%, lift 1.18, avg Rp351,716)"
CUST0227,CAR0561,Reza Gunawan,085283843491,BK 7460 SE,Hilux,Diesel,4x4,Full-Sintetik,2025-10-20,39492,239,47220.0,7728.0,6000,181.23660189866754,1.318718170039565,1.288,0.40689059238967185,0.8021635845396247,High Priority,Sudah melewati model due date,"Halo Reza Gunawan, kendaraan Toyota Hilux BK 7460 SE sudah mencapai 129% dari interval ideal ganti oli dan estimasi 41% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V006458,2025-10-20,"Busi (set) (conf 18%, lift 1.24, avg Rp329,357); Wiper (conf 10%, lift 1.19, avg Rp149,851); Kampas Rem Belakang (conf 7%, lift 1.08, avg Rp570,704)"
CUST0319,CAR0606,Hermanto Situmorang,083848251434,BK 5020 MA,Avanza,Bensin,FWD,Full-Sintetik,2026-02-26,133547,110,143891.0,10344.0,9500,84.13313113551607,1.307451636654522,1.0888421052631578,0.6845273788798395,0.7998464613245989,High Priority,Sudah melewati model due date,"Halo Hermanto Situmorang, kendaraan Toyota Avanza BK 5020 MA sudah mencapai 109% dari interval ideal ganti oli dan estimasi 68% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V006935,2026-02-26,"Kampas Rem Belakang (conf 45%, lift 6.81, avg Rp570,704); Oli Gardan/Transfer (conf 5%, lift 1.22, avg Rp351,716); Tune Up / Servis Berkala (conf 22%, lift 1.20, avg Rp532,492)"
CUST0096,CAR0096,Siti Sitorus,083849931040,BK 5215 EH,Corolla Cross,Hybrid,FWD,Full-Sintetik,2026-03-06,145206,102,156285.0,11079.0,10000,79.25235217199838,1.287028046544704,1.1079,0.7017911138121806,0.7987589508048852,High Priority,Sudah melewati model due date,"Halo Siti Sitorus, kendaraan Toyota Corolla Cross BK 5215 EH sudah mencapai 111% dari interval ideal ganti oli dan estimasi 70% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V001075,2026-03-06,"Busi (set) (conf 18%, lift 1.24, avg Rp329,357); Oli Gardan/Transfer (conf 5%, lift 1.22, avg Rp351,716); Tune Up / Servis Berkala (conf 22%, lift 1.20, avg Rp532,492)"
CUST0517,CAR0517,Hadi Saputra,081173642117,BK 7100 ZC,Avanza,Bensin,RWD,Semi-Sintetik,2025-11-05,62076,223,70850.0,8774.0,7000,173.95905393350498,1.281910857512715,1.2534285714285713,0.4099807401834288,0.782216806401224,High Priority,Sudah melewati model due date,"Halo Hadi Saputra, kendaraan Toyota Avanza BK 7100 ZC sudah mencapai 125% dari interval ideal ganti oli dan estimasi 41% berpeluang perlu servis dalam 14 hari. Boleh kami bantu jadwalkan servis di bengkel resmi Toyota Medan?",V005918,2025-11-05,"Busi (set) (conf 18%, lift 1.24, avg Rp329,357); Oli Gardan/Transfer (conf 5%, lift 1.22, avg Rp351,716); Filter Kabin/AC (conf 31%, lift 1.15, avg Rp140,030)"
